country_name,date,start_time,end_time,total_runtime,links,pdf_count,update
Austria,2023-11-09,00:46:36.495016,02:44:03.947515,1:57:27.452499,"['https://www.bmeia.gv.at/en/european-foreign-policy/security-policy', 'https://www.bmf.gv.at/en/topics/digitalisation/Digitised-Austria/ICT-Security.html', 'https://www.trade.gov/country-commercial-guides/austria-cyber-security', 'https://www.bmlv.gv.at/pdf_pool/publikationen/sicherheitsstrategie_engl.pdf', 'https://www.bundeskanzleramt.gv.at/en/topics/cybersecurity/austrian-cybersecurity-strategy.html', 'https://connections-qj.org/system/files/19.1.03_cyber_policy_austria.pdf']",6
Belgium,2023-11-09,02:44:03.963120,03:15:48.717592,0:31:44.754472,"['https://www.trade.gov/country-commercial-guides/belgium-cybersecurity', 'https://ccb.belgium.be/sites/default/files/CCB_Strategie%202.0_UK_WEB.pdf']",2
Bulgaria,2023-11-09,08:10:09.470891,09:35:25.632277,1:25:16.161386,"['https://ccdcoe.org/library/strategy-and-governance/?category=cyber-security-strategies', 'https://www.trade.gov/country-commercial-guides/bulgaria-safety-and-security', 'https://www.privacyshield.gov/ps/article?id=Bulgaria-Safety-and-Security', 'https://bg.usembassy.gov/u-s-donates-cyber-defence-center-to-bulgaria-09-14-2023/', 'https://cyberpolicyportal.org/states/bulgaria', 'https://e-gov.bg/wps/portal/agency-en/strategy-policy/security-aspects-digital-government']",6
Croatia,2023-11-09,09:35:25.632277,09:39:16.120178,0:03:50.487901,['https://mup.gov.hr/eu-and-ministry/cyber-security/163'],1
