country,pdf_name,path,link
Canada,530293_1.pdf,Canada/530293_1.pdf,https://www.osce.org/files/f/documents/6/5/530293_1.pdf

Chile,Chile_NCSP%20%28ENG%29.pdf,Chile/Chile_NCSP%20%28ENG%29.pdf,https://www.itu.int/en/ITU-D/Cybersecurity/Documents/National_Strategies_Repository/Chile_NCSP%20%28ENG%29.pdf

Colombia,WEF_The_Global_Risks_Report_2022.pdf,Colombia/WEF_The_Global_Risks_Report_2022.pdf,https://www3.weforum.org/docs/WEF_The_Global_Risks_Report_2022.pdf

Czech Republic,ap-cs-2015-2020-en.pdf,Czech_Republic/ap-cs-2015-2020-en.pdf,https://www.govcert.cz/download/gov-cert/container-nodeid-578/ap-cs-2015-2020-en.pdf

Czech Republic,ncss_2015-2020_en.pdf,Czech_Republic/ncss_2015-2020_en.pdf,https://nukib.cz/download/publications_en/strategy_action_plan/ncss_2015-2020_en.pdf

Czech Republic,action_plan_cs_2012-2015_en.pdf,Czech_Republic/action_plan_cs_2012-2015_en.pdf,https://nukib.cz/download/publications_en/strategy_action_plan/action_plan_cs_2012-2015_en.pdf

Czech Republic,CS_organisation_CZE_032016.pdf,Czech_Republic/CS_organisation_CZE_032016.pdf,https://ccdcoe.org/uploads/2018/10/CS_organisation_CZE_032016.pdf

Czech Republic,MZV_BS_A4_brochure_WEB_ENG.pdf,Czech_Republic/MZV_BS_A4_brochure_WEB_ENG.pdf,https://www.mzv.cz/file/5119429/MZV_BS_A4_brochure_WEB_ENG.pdf

Denmark,digst_ncis_2022-2024_uk.pdf,Denmark/digst_ncis_2022-2024_uk.pdf,https://digst.dk/media/27024/digst_ncis_2022-2024_uk.pdf

Denmark,ncis_2022-2024_en.pdf,Denmark/ncis_2022-2024_en.pdf,https://www.cfcs.dk/globalassets/cfcs/dokumenter/2022/ncis_2022-2024_en.pdf

Denmark,visions-and-recommendations-for-denmark-as-a-digital-pioneer-danish-government-digitisation-partnership.pdf,Denmark/visions-and-recommendations-for-denmark-as-a-digital-pioneer-danish-government-digitisation-partnership.pdf,https://en.digst.dk/media/24796/visions-and-recommendations-for-denmark-as-a-digital-pioneer-danish-government-digitisation-partnership.pdf

Denmark,national-strategy-for-digitalisation-together-in-the-digital-development.pdf,Denmark/national-strategy-for-digitalisation-together-in-the-digital-development.pdf,https://en.digst.dk/media/27861/national-strategy-for-digitalisation-together-in-the-digital-development.pdf

Finland,YTS_2017_english.pdf,Finland/YTS_2017_english.pdf,https://turvallisuuskomitea.fi/wp-content/uploads/2018/04/YTS_2017_english.pdf

Finland,Finland_s_Cyber_Security_Strategy.pdf,Finland/Finland_s_Cyber_Security_Strategy.pdf,https://www.defmin.fi/files/2378/Finland_s_Cyber_Security_Strategy.pdf

France,France_Cyber_Security_Strategy.pdf,France/France_Cyber_Security_Strategy.pdf,https://www.enisa.europa.eu/topics/national-cyber-security-strategies/ncss-map/France_Cyber_Security_Strategy.pdf

France,190514-_french_reponse_un_resolutions_73-27_-_73-266_ang_cle4f5b5a-1.pdf,France/190514-_french_reponse_un_resolutions_73-27_-_73-266_ang_cle4f5b5a-1.pdf,https://www.diplomatie.gouv.fr/IMG/pdf/190514-_french_reponse_un_resolutions_73-27_-_73-266_ang_cle4f5b5a-1.pdf

Germany,Country_Report_DEU.pdf,Germany/Country_Report_DEU.pdf,https://ccdcoe.org/uploads/2020/12/Country_Report_DEU.pdf

Germany,cyber-security-strategy-for-germany2021.pdf,Germany/cyber-security-strategy-for-germany2021.pdf,https://www.bmi.bund.de/SharedDocs/downloads/EN/themen/it-digital-policy/cyber-security-strategy-for-germany2021.pdf;jsessionid=87D0901E095BB100FA24830DE036BADF.1_cid322?__blob=publicationFile&v=4

Germany,2016RP07_bdk.pdf,Germany/2016RP07_bdk.pdf,https://www.swp-berlin.org/publications/products/research_papers/2016RP07_bdk.pdf

Germany,isec_a_00351.pdf,Germany/isec_a_00351.pdf,https://www.mitpressjournals.org/doi/pdf/10.1162/isec_a_00351

